Group_ID	Region	Time
Afghanistan_DarraIKur_MBA	SouthAsia	MLBA
Anatolia_Alalakh_MLBA	Anatolia	MLBA
Anatolia_Alalakh_MLBA_outlier	Anatolia	MLBA
Anatolia_Arslantepe_EBA	Anatolia	EMBA
Anatolia_Arslantepe_LC	Anatolia	Chalcolithic
Anatolia_Boncuklu_N.SG	Anatolia	Neolithic
Anatolia_Buyukkaya_EC	Anatolia	Chalcolithic
Anatolia_C	Anatolia	Chalcolithic
Anatolia_CamlibelTarlasi_LC	Anatolia	Chalcolithic
Anatolia_EBA	Anatolia	EMBA
Anatolia_EBA.SG	Anatolia	EMBA
Anatolia_Epipaleolithic	Anatolia	Paleolithic
Anatolia_IA.SG	Anatolia	IronAge
Anatolia_Ikiztepe_LC	Anatolia	Chalcolithic
Anatolia_Kumtepe_N.SG	Anatolia	Neolithic
Anatolia_MLBA.SG	Anatolia	MLBA
Anatolia_N	Anatolia	Neolithic
Anatolia_N.SG	Anatolia	Neolithic
Anatolia_Ottoman_1.SG	Anatolia	Historical
Anatolia_Ottoman_2.SG	Anatolia	Historical
Anatolia_TellKurdu_EC	Anatolia	Chalcolithic
Anatolia_TellKurdu_EMC	Anatolia	Chalcolithic
Anatolia_TepecikCiftlik_N.SG	Anatolia	Neolithic
Anatolia_TepecikCiftlik_N_o.SG	Anatolia	Neolithic
Anatolia_TitrisHoyuk_EBA	Anatolia	EMBA
Armenia_C	Caucasus	Chalcolithic
Armenia_Caucasus_EBA_KuraAraxes	Caucasus	EMBA
Armenia_EBA	Caucasus	EMBA
Armenia_LBA.SG	Caucasus	MLBA
Armenia_LchashenMetsamor.SG	Caucasus	MLBA
Armenia_MBA	Caucasus	MLBA
Armenia_MBA.SG	Caucasus	MLBA
Austria_EN_LBK	Europe	Neolithic
Austria_KremsWA3	Europe	Paleolithic
Belgium_UP_GoyetQ116_1	Europe	Paleolithic
Belgium_UP_GoyetQ-2	Europe	Paleolithic
Belgium_UP_GoyetQ376-19	Europe	Paleolithic
Belgium_UP_Magdalenian	Europe	Paleolithic
Bulgaria_BeliBreyag_EBA	Europe	EMBA
Bulgaria_C	Europe	Chalcolithic
Bulgaria_EBA	Europe	EMBA
Bulgaria_EBA_Ezero	Europe	EMBA
Bulgaria_EBA_Yamnaya_o	WesternSteppe	EMBA
Bulgaria_IA	Europe	IronAge
Bulgaria_MLBA	Europe	MLBA
Bulgaria_N	Europe	Neolithic
Bulgaria_Varna_C	Europe	Chalcolithic
Caucasus_lowlands_LC	Caucasus	Chalcolithic
Caucasus_lowlands_LN	Caucasus	Neolithic
Croatia_EIA	Europe	IronAge
Croatia_EN_Impressa	Europe	Neolithic
Croatia_EN_Starcevo	Europe	Neolithic
Croatia_LateC_EBA_Vucedol	Europe	EMBA
Croatia_LN_Starcevo	Europe	Neolithic
Croatia_MBA	Europe	EMBA
Croatia_Mesolithic_HG	Europe	Mesolithic
Croatia_MN_Sopot	Europe	Neolithic
Croatia_N_Cardial	Europe	Neolithic
Croatia_Vucedol	Europe	Neolithic
Czech_BA	Europe	EMBA
Czech_Baalberge	Europe	Neolithic
Czech_BellBeaker	Europe	EMBA
Czech_CordedWare	Europe	Neolithic
Czech_EarlySlav.SG	Europe	Historical
Czech_EBA	Europe	EMBA
Czech_EBA_Protounetice	Europe	EMBA
Czech_EBA_Unetice	Europe	EMBA
Czech_Eneolithic	Europe	Neolithic
Czech_HallstattBylany.SG	Europe	IronAge
Czech_Megalithic.SG	Europe	Neolithic
Czech_MN	Europe	Neolithic
Czech_N	Europe	Neolithic
Czech_Pavlov1	Europe	Paleolithic
Czech_Vestonice13	Europe	Paleolithic
Czech_Vestonice15	Europe	Paleolithic
Czech_Vestonice16	Europe	Paleolithic
Czech_Vestonice43	Europe	Paleolithic
Denmark_BA.SG	Europe	EMBA
Denmark_LBA.SG	Europe	MLBA
Denmark_LN.SG	Europe	Neolithic
Denmark_MN_B.SG	Europe	Neolithic
DevilsCave_N.SG	EasternSteppe	Neolithic
England_BellBeaker	Europe	EMBA
England_C_EBA	Europe	EMBA
England_IA.SG	Europe	IronAge
England_LBA	Europe	MLBA
England_LIA.SG	Europe	IronAge
England_LIA_ERoman.SG	Europe	IronAge
England_MBA	Europe	MLBA
England_Mesolithic	Europe	Mesolithic
England_Mesolithic_all.SG	Europe	Mesolithic
England_N	Europe	Neolithic
England_N.SG	Europe	Neolithic
England_N_possible	Europe	Neolithic
England_Roman.SG	Europe	Historical
England_Saxon.SG	Europe	Historical
Estonia_BA.SG	Europe	EMBA
Estonia_BA_o.SG	Europe	EMBA
Estonia_CordedWare.SG	Europe	Neolithic
Estonia_CWC	Europe	Neolithic
Estonia_EMN_Narva	Europe	Neolithic
Estonia_IA.SG	Europe	IronAge
Estonia_Medieval.SG	Europe	Historical
Estonia_MN_CCC	Europe	Neolithic
France_BellBeaker	Europe	EMBA
France_BellBeaker_lowSteppe	Europe	EMBA
France_BerryAuBac	Europe	Neolithic
France_Paleo	Europe	Paleolithic
France_MN	Europe	Neolithic
Georgia_Kotias.SG	Caucasus	Paleolithic
Georgia_Satsurblia.SG	Caucasus	Paleolithic
Germany_BellBeaker	Europe	EMBA
Germany_Bockstein	Europe	Paleolithic
Germany_Burkhardtshohle	Europe	Paleolithic
Germany_CordedWare	Europe	Neolithic
Germany_CordedWare.SG	Europe	Neolithic
Germany_EBA_Unetice	Europe	EMBA
Germany_EMedieval.SG	Europe	Historical
Germany_EN_LBK	Europe	Neolithic
Germany_EN_LBK_Stuttgart.DG	Europe	Neolithic
Germany_Falkenstein	Europe	Paleolithic
Germany_HohleFels49	Europe	Paleolithic
Germany_LBA_Halberstadt	Europe	MLBA
Germany_Lech_EBA	Europe	EMBA
Germany_Lech_MBA	Europe	MLBA
Germany_LN	Europe	Neolithic
Germany_LRoman.SG	Europe	Historical
Germany_MN	Europe	Neolithic
Germany_MN_Blatterhohle	Europe	Neolithic
Gibraltar_BA	Europe	EMBA
Gibraltar_N	Europe	Neolithic
Greece_BA_Mycenaean	Europe	MLBA
Greece_Crete_Armenoi	Europe	EMBA
Greece_Minoan	Europe	EMBA
Greece_N	Europe	Neolithic
Greece_N.SG	Europe	Neolithic
Greece_Peloponnese_N	Europe	Neolithic
Hungary_AvarPeriod	Europe	IronAge
Hungary_AvarPeriod.SG	Europe	IronAge
