Group_ID	Region	Time	Pop
Anatolia_Arslantepe_LC	Anatolia	Chalcolithic	Chalco
Anatolia_Buyukkaya_EC	Anatolia	Chalcolithic	Chalco
Anatolia_C	Anatolia	Chalcolithic	Chalco
Anatolia_CamlibelTarlasi_LC	Anatolia	Chalcolithic	Chalco
Anatolia_Ikiztepe_LC	Anatolia	Chalcolithic	Chalco
Anatolia_TellKurdu_EC	Anatolia	Chalcolithic	Chalco
Anatolia_TellKurdu_EMC	Anatolia	Chalcolithic	Chalco
Anatolia_Arslantepe_EBA	Anatolia	EMBA	BA
Anatolia_EBA	Anatolia	EMBA	BA
Anatolia_EBA.SG	Anatolia	EMBA	BA
Anatolia_TitrisHoyuk_EBA	Anatolia	EMBA	BA
Anatolia_Alalakh_MLBA	Anatolia	MLBA	BA
Anatolia_Alalakh_MLBA_outlier	Anatolia	MLBA	BA
Anatolia_MLBA.SG	Anatolia	MLBA	BA
Anatolia_Boncuklu_N.SG	Anatolia	Neolithic	Neo
Anatolia_Kumtepe_N.SG	Anatolia	Neolithic	Neo
Anatolia_N	Anatolia	Neolithic	Neo
Anatolia_N.SG	Anatolia	Neolithic	Neo
Anatolia_TepecikCiftlik_N.SG	Anatolia	Neolithic	Neo
Anatolia_TepecikCiftlik_N_o.SG	Anatolia	Neolithic	Neo
Anatolia_Epipaleolithic	Anatolia	Paleolithic	Epipaleo
Iran_C_HajjiFiruz	Iran 	Chalcolithic	Chalco
Iran_C_SehGabi	Iran 	Chalcolithic	Chalco
Iran_C_TepeHissar	Iran 	Chalcolithic	Chalco
Iran_Mesolithic_BeltCave	Iran 	Mesolithic	Meso
Iran_Mesolithic_HotuIIIb	Iran 	Mesolithic	Meso
Iran_GanjDareh_N	Iran 	Neolithic	Neo
Iran_LN_SehGabi	Iran 	Neolithic	Neo
Iran_TepeAbdulHosein_N.SG	Iran 	Neolithic	Neo
Iran_Wezmeh_N.SG	Iran 	Neolithic	Neo
Israel_C	Levant	Chalcolithic	Chalco
Jordan_EBA	Levant	EMBA	BA
Syria_Ebla_EMBA	Levant	EMBA	BA
Israel_Natufian	Levant	Mesolithic	Natufian
Israel_LBA_Ashkelon	Levant	MLBA	BA
Israel_MLBA	Levant	MLBA	BA
Lebanon_MLBA_Canaanite_MBA.SG	Levant	MLBA	BA
Israel_Middle_Late_PPNB	Levant	Neolithic	PPN
Israel_PPNB	Levant	Neolithic	PPN
Jordan_Late_PPNB	Levant	Neolithic	PPN
Jordan_PPNB	Levant	Neolithic	PPN
Jordan_PPNC	Levant	Neolithic	PPN
ISR_Natufian_EpiP	Levant	Paleolithic	Natufian
IRQ_Bestansur_PPN	Mesopotamia	Neolithic	Neo
IRQ_Shanidar_N	Mesopotamia	Neolithic	Neo
IRQ_Nemrik9_PPN	Mesopotamia	Neolithic	Neo
IRQ_PPN_lc	Mesopotamia	Neolithic	Neo
TUR_SE_Mardin_PPN	Mesopotamia	Neolithic	Neo
Russia_Caucasus_KuraAraxes	NCaucasus	EMBA	KuraAraxes
Russia_Caucasus_LateMaikop	NCaucasus	EMBA	Maikop
Russia_Caucasus_Maikop	NCaucasus	EMBA	Maikop
Russia_Caucasus_Maikop_Novosvobodnaya	NCaucasus	EMBA	Maikop
Russia_LateMaikop	NCaucasus	EMBA	Maikop
Russia_Steppe_Maikop	NCaucasus	EMBA	Maikop
