Instance_ID Group_ID
KCHE-1559 Abazin
KCHE-1294 Abazin
KCHE-1283 Abazin
KCHE-1330 Abazin
KCHE-1333 Abazin
KCHE-1552 Abazin
KCHE-1032 Abazin
KCHE-1560 Abazin
abh41 Abkhasian
abh27 Abkhasian
abh154 Abkhasian
abh147 Abkhasian
abh122 Abkhasian
abh119 Abkhasian
abh24 Abkhasian
abh133 Abkhasian
abh107 Abkhasian
lpgh-303 Adygei
YY-18 Adygei
HGDP01387 Adygei
Adg-227 Adygei
HGDP01381 Adygei
HGDP01403 Adygei
HGDP01383 Adygei
Adg-224 Adygei
Adg-226 Adygei
HGDP01382 Adygei
HGDP01386 Adygei
Shap-156 Adygei
Adg-194 Adygei
Adg-238 Adygei
HGDP01385 Adygei
HGDP01396 Adygei
Adg-185 Adygei
Shap-55 Adygei
YY-36 Adygei
HGDP01397 Adygei
ALT-900 Altaian
ALT-935 Altaian
ALT-743 Altaian
altai280p Altaian
ALT-875 Altaian
ALT-756 Altaian
ALT-916 Altaian
ALT-753 Altaian
altai409k Altaian
altai419A Altaian
altai380k Altaian
ALT-741 Altaian
ALT-744 Altaian
ALT-918 Altaian
altai283p Altaian
ALT-774 Altaian
altai363p Altaian
ALT-776 Altaian
ALT-775 Altaian
ALT-746 Altaian
ALT-093 Altaian_Chelkan
ALT-092 Altaian_Chelkan
ALT-952 Altaian_Chelkan
ALT-082 Altaian_Chelkan
ALT-167 Altaian_Chelkan
ALT-168 Altaian_Chelkan
ALT-090 Altaian_Chelkan
ALT-966 Altaian_Chelkan
armenia279 Armenian
armenia86 Armenian
armenia176 Armenian
armenia106 Armenian
armenia91 Armenian
armenia293 Armenian
armenia102 Armenian
armenia162 Armenian
armenia191 Armenian
armenia139 Armenian
ARK-78 Armenian_Hemsheni
ARK-72 Armenian_Hemsheni
ARK-59 Armenian_Hemsheni
ARK-82 Armenian_Hemsheni
ARK-76 Armenian_Hemsheni
ARK-84 Armenian_Hemsheni
ARK-89 Armenian_Hemsheni
ARK-88 Armenian_Hemsheni
Assyrian152 Assyrian
Assyrian161 Assyrian
Assyrian163 Assyrian
Assyrian151 Assyrian
Assyrian165 Assyrian
Assyrian164 Assyrian
Assyrian162 Assyrian
Assyrian160 Assyrian
Assyrian153 Assyrian
Assyrian155 Assyrian
Assyrian159 Assyrian
DAG-448 Avar
DAG-477 Avar
DAG-515 Avar
DAG-492 Avar
DAG-506 Avar
DAG-474 Avar
DAG-461 Avar
DAG-485 Avar
AZR-1013 Azeri
AZR-1012 Azeri
AZR-1058 Azeri
AZR-0853 Azeri
AZR-0870 Azeri
AZR-0864 Azeri
AZR-0868 Azeri
AZR-0860 Azeri
AZR-0869 Azeri
AZR-1039 Azeri
AZR-1010 Azeri
AZR-1054 Azeri
AZR-1017 Azeri
AZR-1018 Azeri
AZR-1037 Azeri
AZR-0866 Azeri
AZR-0865 Azeri
bal45 Balkar
bal102 Balkar
bal97 Balkar
bal136 Balkar
bal42 Balkar
bal41 Balkar
bal64 Balkar
bal124 Balkar
bal50 Balkar
bal22 Balkar
HGDP00098 Balochi
HGDP00056 Balochi
HGDP00062 Balochi
HGDP00096 Balochi
HGDP00066 Balochi
HGDP00092 Balochi
HGDP00074 Balochi
HGDP00052 Balochi
HGDP00058 Balochi
HGDP00080 Balochi
HGDP00054 Balochi
HGDP00064 Balochi
HGDP00088 Balochi
HGDP00082 Balochi
HGDP00068 Balochi
HGDP00090 Balochi
HGDP00094 Balochi
HGDP00072 Balochi
HGDP00078 Balochi
HGDP00086 Balochi
BAS-156 Bashkir
BAS-121 Bashkir
BAS-008 Bashkir
BAS-822 Bashkir
BAS-060 Bashkir
BAS-831 Bashkir
BAS-1392 Bashkir
BAS-150 Bashkir
BAS-669 Bashkir
BAS-096 Bashkir
BAS-045 Bashkir
BAS-849 Bashkir
BAS-600 Bashkir
BAS-655 Bashkir
BAS-1393 Bashkir
BAS-042 Bashkir
BAS-622 Bashkir
BAS-017 Bashkir
BAS-661 Bashkir
BAS-111 Bashkir
HGDP01373 Basque
BAS22 Basque
HGDP01357 Basque
BAS35 Basque
HGDP01378 Basque
HGDP01364 Basque
HGDP01379 Basque
