K	rep	CV
K=10	rep01	0.51286
K=10	rep02	0.51327
K=10	rep03	0.51327
K=10	rep04	0.51354
K=10	rep05	0.51329
K=10	rep06	0.51331
K=10	rep07	0.51285
K=10	rep08	0.51329
K=10	rep09	0.51314
K=10	rep10	0.51290
K=10	rep11	0.51310
K=10	rep12	0.51326
K=10	rep13	0.51313
K=10	rep14	0.51329
K=10	rep15	0.51275
K=10	rep16	0.51327
K=10	rep17	0.51327
K=10	rep18	0.51325
K=10	rep19	0.51328
K=10	rep20	0.51291
K=11	rep01	0.51325
K=11	rep02	0.51358
K=11	rep03	0.51326
K=11	rep04	0.51315
K=11	rep05	0.51295
K=11	rep06	0.51308
K=11	rep07	0.51324
K=11	rep08	0.51326
K=11	rep09	0.51324
K=11	rep10	0.51361
K=11	rep11	0.51296
K=11	rep12	0.51295
K=11	rep13	0.51324
K=11	rep14	0.51322
K=11	rep15	0.51294
K=11	rep16	0.51357
K=11	rep17	0.51318
K=11	rep18	0.51302
K=11	rep19	0.51358
K=11	rep20	0.51319
K=12	rep01	0.51358
K=12	rep02	0.51327
K=12	rep03	0.51370
K=12	rep04	0.51373
K=12	rep05	0.51322
K=12	rep06	0.51347
K=12	rep07	0.51329
K=12	rep08	0.51357
K=12	rep09	0.51416
K=12	rep10	0.51357
K=12	rep11	0.51322
K=12	rep12	0.51362
K=12	rep13	0.51355
K=12	rep14	0.51322
K=12	rep15	0.51357
K=12	rep16	0.51412
K=12	rep17	0.51324
K=12	rep18	0.51323
K=12	rep19	0.51357
K=12	rep20	0.51399
K=13	rep01	0.51397
K=13	rep02	0.51385
K=13	rep03	0.51375
K=13	rep04	0.51429
K=13	rep05	0.51410
K=13	rep06	0.51358
K=13	rep07	0.51394
K=13	rep08	0.51397
K=13	rep09	0.51419
K=13	rep10	0.51359
K=13	rep11	0.51394
K=13	rep12	0.51396
K=13	rep13	0.51360
K=13	rep14	0.51356
K=13	rep15	0.51420
K=13	rep16	0.51394
K=13	rep17	0.51395
K=13	rep18	0.51394
K=13	rep19	0.51387
K=13	rep20	0.51448
K=14	rep01	0.51444
K=14	rep02	0.51446
K=14	rep03	0.51480
K=14	rep04	0.51505
K=14	rep05	0.51414
K=14	rep06	0.51443
K=14	rep07	0.51492
K=14	rep08	0.51439
K=14	rep09	0.51427
K=14	rep10	0.51529
K=14	rep11	0.51445
K=14	rep12	0.51460
K=14	rep13	0.51503
K=14	rep14	0.51445
K=14	rep15	0.51455
K=14	rep16	0.51453
K=14	rep17	0.51466
K=14	rep18	0.51470
K=14	rep19	0.51504
K=14	rep20	0.51483
K=02	rep01	0.51970
K=02	rep02	0.51970
K=02	rep03	0.51970
K=02	rep04	0.51970
K=02	rep05	0.51971
K=02	rep06	0.51970
K=02	rep07	0.51970
K=02	rep08	0.51970
K=02	rep09	0.51971
K=02	rep10	0.51970
K=02	rep11	0.51970
K=02	rep12	0.51970
K=02	rep13	0.51970
K=02	rep14	0.51970
K=02	rep15	0.51970
K=02	rep16	0.51970
K=02	rep17	0.51970
K=02	rep18	0.51970
K=02	rep19	0.51970
K=02	rep20	0.51970
K=03	rep01	0.51702
K=03	rep02	0.51702
K=03	rep03	0.51702
K=03	rep04	0.51702
K=03	rep05	0.51702
K=03	rep06	0.51703
K=03	rep07	0.51702
K=03	rep08	0.51702
K=03	rep09	0.51702
K=03	rep10	0.51702
K=03	rep11	0.51702
K=03	rep12	0.51703
K=03	rep13	0.51702
K=03	rep14	0.51702
K=03	rep15	0.51702
K=03	rep16	0.51702
K=03	rep17	0.51702
K=03	rep18	0.51702
K=03	rep19	0.51703
K=03	rep20	0.51702
K=04	rep01	0.51499
K=04	rep02	0.51499
K=04	rep03	0.51499
K=04	rep04	0.51499
K=04	rep05	0.51499
K=04	rep06	0.51499
K=04	rep07	0.51499
K=04	rep08	0.51499
K=04	rep09	0.51499
K=04	rep10	0.51499
K=04	rep11	0.51499
K=04	rep12	0.51500
K=04	rep13	0.51499
K=04	rep14	0.51499
K=04	rep15	0.51499
K=04	rep16	0.51499
K=04	rep17	0.51499
K=04	rep18	0.51498
K=04	rep19	0.51499
K=04	rep20	0.51499
K=05	rep01	0.51388
K=05	rep02	0.51398
K=05	rep03	0.51453
K=05	rep04	0.51399
K=05	rep05	0.51398
K=05	rep06	0.51398
K=05	rep07	0.51388
K=05	rep08	0.51388
K=05	rep09	0.51398
K=05	rep10	0.51388
K=05	rep11	0.51388
K=05	rep12	0.51388
K=05	rep13	0.51387
K=05	rep14	0.51388
K=05	rep15	0.51387
K=05	rep16	0.51398
K=05	rep17	0.51398
K=05	rep18	0.51453
K=05	rep19	0.51398
K=05	rep20	0.51398
K=06	rep01	0.51332
K=06	rep02	0.51354
K=06	rep03	0.51335
K=06	rep04	0.51333
K=06	rep05	0.51335
K=06	rep06	0.51335
K=06	rep07	0.51332
K=06	rep08	0.51353
K=06	rep09	0.51331
K=06	rep10	0.51336
K=06	rep11	0.51335
K=06	rep12	0.51336
K=06	rep13	0.51335
K=06	rep14	0.51332
K=06	rep15	0.51335
K=06	rep16	0.51332
K=06	rep17	0.51332
K=06	rep18	0.51332
K=06	rep19	0.51336
K=06	rep20	0.51336
K=07	rep01	0.51336
K=07	rep02	0.51288
K=07	rep03	0.51289
K=07	rep04	0.51310
K=07	rep05	0.51288
