Group_ID	Region	Time
Anatolia_C	Anatolia	Chalcolithic
Armenia_C	Caucase	Chalcolithic
Bulgaria_C	Europe	Chalcolithic
Bulgaria_C_published	Europe	Chalcolithic
Bulgaria_Varna_C	Europe	Chalcolithic
Hungary_C_Balaton_Lasinja	Europe	Chalcolithic
Hungary_C_Balaton_Lasinja_published	Europe	Chalcolithic
Hungary_EarlyC_Tiszapolgar	Europe	Chalcolithic
Hungary_EarlyC_Tiszapolgar_Bodrogkeresztur_published	Europe	Chalcolithic
Hungary_LateC_Baden	Europe	Chalcolithic
Hungary_LateC_Baden_published	Europe	Chalcolithic
Hungary_LateC_Protoboleraz	Europe	Chalcolithic
Hungary_LateC_Protoboleraz_published	Europe	Chalcolithic
Iberia_C	Europe	Chalcolithic
Iberia_C.SG	Europe	Chalcolithic
Iberia_C_BA	Europe	Chalcolithic
Iberia_C_BA_published	Europe	Chalcolithic
Iberia_C_published	Europe	Chalcolithic
Tajikistan_C_Sarazm	Turan	Chalcolithic
Turkmenistan_C_Geoksyur	Turan	Chalcolithic
Iran_C_HajjiFiruz	Iran 	Chalcolithic
Iran_C_SehGabi	Iran 	Chalcolithic
Iran_C_TepeHissar	Iran 	Chalcolithic
Iran_C_TepeHissar_published	Iran 	Chalcolithic
Israel_C	Levant	Chalcolithic
Israel_C_published	Levant	Chalcolithic
Italy_C.SG	Europe	Chalcolithic
Italy_C_BA.SG	Europe	Chalcolithic
Italy_North_Remedello_C.SG	Europe	Chalcolithic
Italy_Sicily_C_o	Europe	Chalcolithic
Romania_C	Europe	Chalcolithic
Romania_C.SG	Europe	Chalcolithic
Sweden_BAC	Europe	Chalcolithic
Sweden_BattleAxe.SG	Europe	Chalcolithic
Sweden_FBC	Europe	Chalcolithic
Turkmenistan_C_Geoksyur_published	Turan	Chalcolithic
Turkmenistan_C_Namazga.SG	Turan	Chalcolithic
Turkmenistan_C_Namazga_o.SG	Turan	Chalcolithic
Turkmenistan_C_Parkhai	Turan	Chalcolithic
Turkmenistan_C_TepeAnau	Turan	Chalcolithic
Wales_C	Europe	Chalcolithic
Wales_C.SG	Europe	Chalcolithic
Anatolia_EBA	Anatolia	EMBA
Anatolia_EBA.SG	Anatolia	EMBA
Armenia_Caucasus_EBA_KuraAraxes	Caucase	EMBA
Armenia_EBA	Caucase	EMBA
Bulgaria_BeliBreyag_EBA	Europe	EMBA
Bulgaria_EBA	Europe	EMBA
Bulgaria_EBA_Ezero	Europe	EMBA
Bulgaria_EBA_published	Europe	EMBA
Bulgaria_EBA_Yamnaya_o	WesternSteppe	EMBA
Croatia_LateC_EBA_Vucedol	Europe	EMBA
Croatia_MBA	Europe	EMBA
Czech_BA	Europe	EMBA
Czech_BellBeaker	Europe	EMBA
Czech_EBA	Europe	EMBA
Czech_EBA_Protounetice	Europe	EMBA
Czech_EBA_Unetice	Europe	EMBA
Denmark_BA.SG	Europe	EMBA
England_BellBeaker	Europe	EMBA
England_BellBeaker_published	Europe	EMBA
England_C_EBA	Europe	EMBA
England_C_EBA_published	Europe	EMBA
Estonia_BA.SG	Europe	EMBA
Estonia_BA_o.SG	Europe	EMBA
France_BellBeaker	Europe	EMBA
France_BellBeaker_lowSteppe	Europe	EMBA
France_BellBeaker_published	Europe	EMBA
Germany_BA.SG	Europe	EMBA
Germany_BellBeaker	Europe	EMBA
Germany_BellBeaker_published	Europe	EMBA
Germany_EBA_Unetice	Europe	EMBA
Germany_EBA_Unetice_published	Europe	EMBA
Germany_Lech_BellBeaker	Europe	EMBA
Germany_Lech_EBA	Europe	EMBA
Gibraltar_BA	Europe	EMBA
Greece_Crete_Armenoi	Europe	EMBA
Greece_Minoan_Lassithi	Europe	EMBA
Greece_Minoan_Odigitria	Europe	EMBA
Hungary_EBA_BellBeaker	Europe	EMBA
